,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,which_of_these_sentiment_scores_does_the_above_image_fit_into_best,which_of_these_sentiment_scores_does_the_above_image_fit_into_best:confidence,imageurl,which_of_these_sentiment_scores_does_the_above_image_fit_into_best_gold,which_of_these_sentiment_scores_does_the_above_image_fit_into_best_gold_reason
66,694550637,True,golden,29,,Highly negative,0.5195,http://farm8.staticflickr.com/7004/6645589143_5e648e189a.jpg,"Highly negative
Negative",
67,694550638,True,golden,38,,Highly positive,0.5198,http://farm1.staticflickr.com/39/83156234_ff867143fd.jpg,"Positive
Highly positive",
68,694550639,True,golden,48,,Highly negative,0.5613,http://farm7.staticflickr.com/6121/6207215090_a54b51fc9b.jpg,"Highly negative
Negative",
70,694550641,True,golden,37,,Highly positive,0.5611,http://farm1.staticflickr.com/134/322779625_49f54d988f.jpg,"Positive
Highly positive",
72,694550643,True,golden,52,,Negative,0.7588,http://farm2.staticflickr.com/1345/1317612821_c23f0eec87.jpg,"Highly negative
Negative",
73,694550644,True,golden,31,,Highly negative,0.562,http://farm5.staticflickr.com/4068/4375157039_4be0b0c52d.jpg,"Highly negative
Negative",
74,694550645,True,golden,42,,Negative,0.7978,http://farm4.staticflickr.com/3161/2672903440_581da63966.jpg,"Highly negative
Negative",
75,694550646,True,golden,41,,Negative,0.5567,http://farm7.staticflickr.com/6051/6343105577_fa445ff044.jpg,"Highly negative
Negative",
76,694550647,True,golden,36,,Positive,0.6379,http://farm4.staticflickr.com/3527/3259619205_c2a884f9ae.jpg,"Positive
Highly positive",
77,694550648,True,golden,43,,Positive,0.5999,http://farm6.staticflickr.com/5487/9071799396_380dc0e1ac.jpg,"Positive
Highly positive",
78,694550649,True,golden,41,,Highly positive,0.5225,http://farm4.staticflickr.com/3519/3798386701_ac42e7184b.jpg,"Positive
Highly positive",
79,694550650,True,golden,39,,Positive,0.5198,http://farm4.staticflickr.com/3562/5708848146_260f68e800.jpg,"Positive
Highly positive",
81,694550652,True,golden,49,,Negative,0.6837,http://farm1.staticflickr.com/6/7502123_9522bb4fb8.jpg,"Highly negative
Negative",
82,694550653,True,golden,42,,Positive,0.9201,http://farm8.staticflickr.com/7202/6916392704_e61879b646.jpg,"Positive
Highly positive",
85,694550656,True,golden,46,,Negative,0.5554,http://farm6.staticflickr.com/5288/5375954518_308f016557.jpg,"Highly negative
Negative",
88,694550659,True,golden,46,,Positive,0.8013,http://farm1.staticflickr.com/41/120473692_7c5f79adc3.jpg,"Positive
Highly positive",
89,694550660,True,golden,41,,Highly negative,0.6011,http://farm5.staticflickr.com/4127/5141181768_d321c07ee6.jpg,"Highly negative
Negative",
90,694550661,True,golden,43,,Positive,0.7238,http://farm4.staticflickr.com/3675/9336957513_d4b65e4ba2.jpg,"Positive
Highly positive",
91,694550662,True,golden,47,,Highly negative,0.6012,http://farm4.staticflickr.com/3061/3046336203_40b47c76d4.jpg,"Highly negative
Negative",
92,694550663,True,golden,34,,Highly positive,0.4806,http://farm7.staticflickr.com/6167/6164831760_3466e9c7f9.jpg,"Positive
Highly positive",
93,694550664,True,golden,44,,Highly negative,0.5616,http://farm3.staticflickr.com/2510/4117072645_b6c9007870.jpg,"Negative
Highly negative",
94,694550665,True,golden,41,,Positive,0.6781,http://farm3.staticflickr.com/2266/4510308021_1830838f1c.jpg,"Positive
Highly positive",
95,694550666,True,golden,42,,Positive,0.7208,http://farm3.staticflickr.com/2743/4431164313_1e2bbd1b10.jpg,"Positive
Highly positive",
96,694550667,True,golden,41,,Highly negative,0.802,http://farm6.staticflickr.com/5113/7196512306_a2484975fc.jpg,"Highly negative
Negative",
97,694550668,True,golden,42,,Positive,0.5979,http://farm3.staticflickr.com/2518/3802557388_cd12029e2b.jpg,"Positive
Highly positive",
98,694550669,True,golden,38,,Negative,0.4807,http://farm3.staticflickr.com/2273/2228488243_f12ec55a28.jpg,"Highly negative
Negative",
99,694550670,True,golden,49,,Negative,0.5215,http://farm1.staticflickr.com/76/176795220_72db378a9a.jpg,"Highly negative
Negative",
100,694550671,True,golden,42,,Positive,0.6376,http://farm3.staticflickr.com/2033/1660184048_3f6db23524.jpg,"Positive
Highly positive",
101,694550672,True,golden,41,,Positive,0.5589999999999999,http://farm3.staticflickr.com/2600/5708287661_0316f2c9f4.jpg,"Positive
Highly positive",
102,694550673,True,golden,39,,Positive,0.7987,http://farm5.staticflickr.com/4035/4267924056_6226db9632.jpg,"Positive
Highly positive",
103,694550674,True,golden,37,,Positive,0.7207,http://farm9.staticflickr.com/8141/7116670775_8d07a3d9e4.jpg,"Positive
Highly positive",
104,694550675,True,golden,47,,Positive,0.6805,http://farm1.staticflickr.com/150/370635839_134364d566.jpg,"Positive
Highly positive",
105,694550676,True,golden,33,,Highly negative,0.5988,http://farm9.staticflickr.com/8045/8133978836_7f50da9b05.jpg,"Highly negative
Negative",
106,694550677,True,golden,35,,Highly negative,0.6415,http://farm3.staticflickr.com/2053/2790175874_6b482b1553.jpg,"Negative
Highly negative",
107,694550678,True,golden,43,,Positive,0.7584,http://farm1.staticflickr.com/111/364986953_c21eff95f5.jpg,"Positive
Highly positive",
108,694550679,True,golden,39,,Highly negative,0.6028,http://farm4.staticflickr.com/3017/3108414143_7d5d2df0f9.jpg,"Highly negative
Negative",
109,694550680,True,golden,47,,Positive,0.5175,http://farm4.staticflickr.com/3082/3133138117_c8907db652.jpg,"Positive
Highly positive",
110,694550681,True,golden,38,,Highly negative,0.8003,http://farm6.staticflickr.com/5180/5522215253_afe682dfde.jpg,"Highly negative
Negative",
111,694550682,True,golden,36,,Positive,0.5569,http://farm6.staticflickr.com/5142/5603892220_d704f6ede6.jpg,"Positive
Highly positive",
112,694550683,True,golden,38,,Positive,0.8015,http://farm4.staticflickr.com/3622/3519567139_9ae3071c44.jpg,"Positive
Highly positive",
113,694550684,True,golden,40,,Positive,0.6758,http://farm4.staticflickr.com/3464/4565528585_a0860dc5ae.jpg,"Positive
Highly positive",
114,694550685,True,golden,49,,Highly negative,0.5619,http://farm5.staticflickr.com/4061/4375914756_56046282c8.jpg,"Highly negative
Negative",
115,694550686,True,golden,45,,Positive,0.7602,http://farm3.staticflickr.com/2502/4102349572_d5d3d44e53.jpg,"Positive
Highly positive",
116,694550687,True,golden,42,,Negative,0.7611,http://farm2.staticflickr.com/1390/784562445_ae0a875bfb.jpg,"Highly negative
Negative",
117,694550688,True,golden,42,,Highly negative,0.6,http://farm1.staticflickr.com/55/186194188_8014829650.jpg,"Highly negative
Negative",
118,694550689,True,golden,43,,Positive,0.6428,http://farm3.staticflickr.com/2229/2286843188_4df0efc133.jpg,"Positive
Highly positive",
119,694550690,True,golden,38,,Positive,0.5231,http://farm1.staticflickr.com/183/446720133_4dd97fdb5e.jpg,"Positive
Highly positive",
120,694550691,True,golden,40,,Positive,0.7211,http://farm3.staticflickr.com/2245/2103921872_d03a183fb7.jpg,"Positive
Highly positive",
121,694550692,True,golden,38,,Highly positive,0.6804,http://farm3.staticflickr.com/2531/3799198494_8b21c17917.jpg,"Positive
Highly positive",
122,694550693,True,golden,35,,Negative,0.5597,http://farm3.staticflickr.com/2391/2444138998_4e08e4c789.jpg,"Negative
Highly negative",
123,694550694,True,golden,48,,Negative,0.6789,http://farm1.staticflickr.com/239/519914693_82203f3f0e.jpg,"Highly negative
Negative",
124,694550695,True,golden,33,,Positive,0.7188,http://farm2.staticflickr.com/1403/960428369_b455f5a894.jpg,"Positive
Highly positive",
125,694550697,True,golden,37,,Highly positive,0.519,http://farm1.staticflickr.com/117/262709723_c6f482bbd6.jpg,"Positive
Highly positive",
126,694550698,True,golden,35,,Negative,0.5598,http://farm8.staticflickr.com/7421/9756696483_cdd117da34.jpg,"Highly negative
Negative",
127,694550699,True,golden,41,,Highly positive,0.5158,http://farm1.staticflickr.com/14/89799023_1151037bb6.jpg,"Positive
Highly positive",
128,694550700,True,golden,52,,Negative,0.6812,http://farm9.staticflickr.com/8108/8655230727_61ee7906e3.jpg,"Negative
Highly negative",
129,694550701,True,golden,42,,Positive,0.6788,http://farm3.staticflickr.com/2835/10119017503_8540e43a20.jpg,"Positive
Highly positive",
130,694550702,True,golden,36,,Positive,0.6005,http://farm4.staticflickr.com/3107/2840079876_247b09e304.jpg,"Positive
Highly positive",
133,694550705,True,golden,44,,Positive,0.6411,http://farm4.staticflickr.com/3023/2634329026_66ed646603.jpg,"Positive
Highly positive",
134,694550706,True,golden,33,,Positive,0.7617,http://farm4.staticflickr.com/3155/2345968015_d6996c42db.jpg,"Positive
Highly positive",
135,694550707,True,golden,49,,Highly negative,0.5232,http://farm4.staticflickr.com/3222/2511208533_e86cecab9b.jpg,"Negative
Highly negative",
136,694550708,True,golden,42,,Negative,0.6409999999999999,http://farm6.staticflickr.com/5258/5436786272_6f1866de52.jpg,"Negative
Highly negative",
137,694550709,True,golden,41,,Negative,0.7193,http://farm5.staticflickr.com/4041/4313668812_3ceb758469.jpg,"Highly negative
Negative",
138,694550710,True,golden,47,,Positive,0.7657,http://farm3.staticflickr.com/2465/3902169863_849a25a04d.jpg,"Positive
Highly positive",
139,694550711,True,golden,50,,Positive,0.5213,http://farm9.staticflickr.com/8059/8276636443_497b4dac0c.jpg,"Positive
Highly positive",
140,694550712,True,golden,38,,Negative,0.7997,http://farm4.staticflickr.com/3271/3111961411_748e966d7e.jpg,"Highly negative
Negative",
141,694550714,True,golden,44,,Negative,0.8417,http://farm1.staticflickr.com/45/156995330_62ed9d5dbe.jpg,"Highly negative
Negative",
142,694550716,True,golden,49,,Highly positive,0.6021,http://farm8.staticflickr.com/7209/6901074791_75ee104299.jpg,"Positive
Highly positive",
143,694550717,True,golden,46,,Positive,0.7597,http://farm4.staticflickr.com/3630/3497948980_a6665094b7.jpg,"Positive
Highly positive",
144,694550718,True,golden,43,,Negative,0.521,http://farm8.staticflickr.com/7031/6645587483_cdbf5703b9.jpg,"Highly negative
Negative",
145,694550719,True,golden,51,,Positive,0.7627,http://farm4.staticflickr.com/3182/2682747254_c7f2dc5a47.jpg,"Positive
Highly positive",
146,694550720,True,golden,49,,Positive,0.682,http://farm1.staticflickr.com/216/517808621_9d67b7510d.jpg,"Positive
Highly positive",
147,694550721,True,golden,45,,Highly positive,0.6021,http://farm3.staticflickr.com/2690/5857237656_bc602e6346.jpg,"Positive
Highly positive",
148,694550722,True,golden,42,,Positive,0.6809,http://farm4.staticflickr.com/3164/2675572437_1a843da5ef.jpg,"Positive
Highly positive",
149,694550723,True,golden,40,,Positive,0.5972,http://farm9.staticflickr.com/8069/8170944379_247f4fc4d5.jpg,"Positive
Highly positive",
150,694550724,True,golden,38,,Negative,0.6359,http://farm2.staticflickr.com/1039/1414671231_b41016f49e.jpg,"Highly negative
Negative",
151,694550725,True,golden,40,,Positive,0.5205,http://farm6.staticflickr.com/5271/5881985651_dde3864ff0.jpg,"Positive
Highly positive",
152,694550727,True,golden,41,,Negative,0.6415,http://farm2.staticflickr.com/1432/5154818595_867789bf6c.jpg,"Negative
Highly negative",
153,694550728,True,golden,43,,Positive,0.5554,http://farm6.staticflickr.com/5223/5585543823_8ffd8b64c2.jpg,"Positive
Highly positive",
154,694550729,True,golden,40,,Positive,0.6,http://farm6.staticflickr.com/5086/5216016972_0af2b1b4f7.jpg,"Positive
Highly positive",
155,694550730,True,golden,43,,Positive,0.6002,http://farm4.staticflickr.com/3589/3616979151_5dc8a7aa94.jpg,"Positive
Highly positive",
156,694550731,True,golden,51,,Positive,0.5182,http://farm1.staticflickr.com/51/187895444_a58734d08d.jpg,"Positive
Highly positive",
157,694550732,True,golden,52,,Positive,0.8404,http://farm6.staticflickr.com/5097/5464682806_bc62fd81d4.jpg,"Positive
Highly positive",
158,694550733,True,golden,41,,Highly negative,0.5598,http://farm5.staticflickr.com/4067/4375869084_e26c4d0447.jpg,"Highly negative
Negative",
159,694550734,True,golden,42,,Negative,0.5589,http://farm4.staticflickr.com/3168/2830102816_8a3ac2ccdd.jpg,"Highly negative
Negative",
160,694550735,True,golden,39,,Highly positive,0.5201,http://farm1.staticflickr.com/103/289385280_f6ca8c453f.jpg,"Positive
Highly positive",
162,694550737,True,golden,51,,Positive,0.519,http://farm7.staticflickr.com/6231/6327362084_e115fdb22f.jpg,"Positive
Highly positive",
163,694550738,True,golden,45,,Highly negative,0.6385,http://farm5.staticflickr.com/4038/4375904422_cdb479737a.jpg,"Highly negative
Negative",
164,694550739,True,golden,44,,Negative,0.7582,http://farm4.staticflickr.com/3244/2296138797_d77a1198c9.jpg,"Negative
Highly negative",
165,694550740,True,golden,41,,Negative,0.7621,http://farm3.staticflickr.com/2769/4322284612_3064d02196.jpg,"Negative
Highly negative",
166,694550741,True,golden,40,,Highly positive,0.5615,http://farm4.staticflickr.com/3770/11105592996_c6928681bf.jpg,"Positive
Highly positive",
167,694550742,True,golden,33,,Positive,0.6427,http://farm9.staticflickr.com/8228/8521748963_a74827e6c9.jpg,"Positive
Highly positive",
169,694550744,True,golden,39,,Positive,0.8789,http://farm1.staticflickr.com/222/507980719_dce7d8f4e0.jpg,"Positive
Highly positive",
170,694550745,True,golden,35,,Positive,0.6018,http://farm2.staticflickr.com/1256/1438157621_9b5d9af5d3.jpg,"Positive
Highly positive",
171,694550746,True,golden,33,,Positive,0.5185,http://farm5.staticflickr.com/4123/4920157645_be94513bb2.jpg,"Positive
Highly positive",
172,694550747,True,golden,52,,Positive,0.7986,http://farm6.staticflickr.com/5164/5347943989_6991586c81.jpg,"Positive
Highly positive",
173,694550748,True,golden,40,,Negative,0.5176,http://farm4.staticflickr.com/3690/8914048832_8772c6f8bb.jpg,"Negative
Highly negative",
174,694550749,True,golden,42,,Highly negative,0.6798,http://farm5.staticflickr.com/4011/4375149559_a1c5197267.jpg,"Highly negative
Negative",
176,694550751,True,golden,45,,Positive,0.5237,http://farm8.staticflickr.com/7060/6913508663_46a750aeba.jpg,"Positive
Highly positive",
177,694550752,True,golden,38,,Highly positive,0.5594,http://farm1.staticflickr.com/69/155421589_8608a07379.jpg,"Positive
Highly positive",
178,694550753,True,golden,45,,Positive,0.6378,http://farm3.staticflickr.com/2062/2212428585_3bd35e2688.jpg,"Positive
Highly positive",
179,694550754,True,golden,41,,Negative,0.722,http://farm3.staticflickr.com/2377/1815873607_f705c6dff5.jpg,"Negative
Highly negative",
181,694550756,True,golden,50,,Highly positive,0.5575,http://farm6.staticflickr.com/5267/5754933568_182f758ba9.jpg,"Positive
Highly positive",
182,694550757,True,golden,45,,Negative,0.8417,http://farm2.staticflickr.com/1181/1429881314_e703b05540.jpg,"Negative
Highly negative",
183,694550759,True,golden,43,,Highly positive,0.8041,http://farm9.staticflickr.com/8036/7975286856_5de0725bbc.jpg,"Positive
Highly positive",
184,694550761,True,golden,37,,Positive,0.6046,http://farm9.staticflickr.com/8424/7706161552_9520ca3fd8.jpg,"Positive
Highly positive",
185,694550762,True,golden,35,,Positive,0.5187,http://farm5.staticflickr.com/4044/4699823024_e12edbc675.jpg,"Positive
Highly positive",
186,694550766,True,golden,54,,Highly negative,0.5995,http://farm4.staticflickr.com/3340/3598424609_028a81c55e.jpg,"Negative
Highly negative",
187,694550768,True,golden,41,,Highly negative,0.5222,http://farm9.staticflickr.com/8391/8503860281_df3ed9f942.jpg,"Highly negative
Negative",
188,694550769,True,golden,45,,Positive,0.6003,http://farm5.staticflickr.com/4047/4519132674_15f0a68e23.jpg,"Positive
Highly positive",
189,694550771,True,golden,42,,Positive,0.6381,http://farm5.staticflickr.com/4081/4878548095_6f859932a9.jpg,"Positive
Highly positive",
190,694550773,True,golden,49,,Negative,0.6751,http://farm4.staticflickr.com/3211/3079003289_7ecb95ecd2.jpg,"Negative
Highly negative",
191,694550774,True,golden,39,,Negative,0.5593,http://farm8.staticflickr.com/7247/7133184689_0a30f3b9fb.jpg,"Highly negative
Negative",
192,694550775,True,golden,38,,Positive,0.7582,http://farm4.staticflickr.com/3223/2970077640_0d5f783c91.jpg,"Positive
Highly positive",
193,694550776,True,golden,60,,Positive,0.7989,http://farm8.staticflickr.com/7083/7282475198_fb41d22b4c.jpg,"Positive
Highly positive",
194,694550777,True,golden,43,,Negative,0.7612,http://farm5.staticflickr.com/4075/4872612207_1b7cbf2e1d.jpg,"Negative
Highly negative",
196,694550779,True,golden,30,,Positive,0.6374,http://farm7.staticflickr.com/6035/5914092598_a55779deff.jpg,"Positive
Highly positive",
197,694550780,True,golden,37,,Positive,0.8028,http://farm2.staticflickr.com/1338/4726569889_d02c75302c.jpg,"Positive
Highly positive",
198,694550781,True,golden,41,,Negative,0.6368,http://farm7.staticflickr.com/6019/6284653753_3fc06ed47b.jpg,"Highly negative
Negative",
199,694550782,True,golden,47,,Positive,0.6374,http://farm4.staticflickr.com/3485/3749494223_9a83c9d0f3.jpg,"Positive
Highly positive",
200,694550783,True,golden,36,,Negative,0.6841,http://farm5.staticflickr.com/4054/4707748801_52a9d07ff7.jpg,"Highly negative
Negative",
201,694550784,True,golden,47,,Positive,0.602,http://farm7.staticflickr.com/6053/6362918053_3a09a23b6f.jpg,"Positive
Highly positive",
203,694550786,True,golden,42,,Positive,0.6366,http://farm4.staticflickr.com/3229/3121495494_840820111b.jpg,"Positive
Highly positive",
204,694550787,True,golden,37,,Positive,0.84,http://farm1.staticflickr.com/114/260323975_4e76456e6f.jpg,"Positive
Highly positive",
205,694550788,True,golden,35,,Positive,0.7619,http://farm6.staticflickr.com/5473/9875258856_848eed0b97.jpg,"Positive
Highly positive",
206,694550789,True,golden,38,,Highly negative,0.5995,http://farm2.staticflickr.com/1367/5143404974_84ff9a23eb.jpg,"Highly negative
Negative",
208,694550791,True,golden,35,,Positive,0.6454,http://farm4.staticflickr.com/3076/3111083026_f8be9ac91b.jpg,"Positive
Highly positive",
210,694550793,True,golden,40,,Negative,0.6446,http://farm1.staticflickr.com/108/283658982_43195cedde.jpg,"Highly negative
Negative",
211,694550794,True,golden,35,,Negative,0.5179,http://farm9.staticflickr.com/8470/8112698907_5fc6e5e8cc.jpg,"Highly negative
Negative",
212,694550795,True,golden,49,,Highly negative,0.5223,http://farm3.staticflickr.com/2433/4063532232_3a650d595d.jpg,"Negative
Highly negative",
213,694550796,True,golden,44,,Negative,0.7192,http://farm7.staticflickr.com/6055/6266182518_3cb6716873.jpg,"Highly negative
Negative",
214,694550797,True,golden,38,,Positive,0.7216,http://farm9.staticflickr.com/8452/7890245806_f7910fa80a.jpg,"Positive
Highly positive",
215,694550798,True,golden,52,,Negative,0.7626,http://farm6.staticflickr.com/5135/5487308456_cd14e64982.jpg,"Highly negative
Negative",
216,694550799,True,golden,37,,Negative,0.7585,http://farm4.staticflickr.com/3010/3018157004_669331a7d2.jpg,"Highly negative
Negative",
217,694550800,True,golden,40,,Negative,0.5211,http://farm5.staticflickr.com/4009/4462774610_b65848cbcc.jpg,"Highly negative
Negative",
218,694550801,True,golden,46,,Positive,0.7278,http://farm4.staticflickr.com/3561/3485844644_d14a18616d.jpg,"Positive
Highly positive",
